Business Date,branchCode,Store Name,Ownership,Region,Source,invoiceNumber,createdDate,brandName,channel,status,Item Line ID,Item Name,Item Group Name,Variant,Product Mix,Category Group,Qty,Gross Amount,Discount,Net Amount
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725181,2026-09-17T10:11:54+05:30,Frozen Bottle,Ownly - Frozen Bottle,CLOSED,BRK262725181__LINE_1,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725181,2026-09-17T10:11:54+05:30,Frozen Bottle,Ownly - Frozen Bottle,CLOSED,,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725182,2026-09-17T12:21:33+05:30,Frozen Bottle,Zomato Frozen Bottle,CLOSED,BRK262725182__LINE_1,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725182,2026-09-17T12:21:33+05:30,Frozen Bottle,Zomato Frozen Bottle,CLOSED,BRK262725182__LINE_2,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725182,2026-09-17T12:21:33+05:30,Frozen Bottle,Zomato Frozen Bottle,CLOSED,,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725182,2026-09-17T12:21:33+05:30,Frozen Bottle,Zomato Frozen Bottle,CLOSED,,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725183,2026-09-17T13:30:32+05:30,Frozen Bottle,Frozen Bottle In-Store,CLOSED,BRK262725183__LINE_1,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725183,2026-09-17T13:30:32+05:30,Frozen Bottle,Frozen Bottle In-Store,CLOSED,BRK262725183__LINE_2,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725183,2026-09-17T13:30:32+05:30,Frozen Bottle,Frozen Bottle In-Store,CLOSED,,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725183,2026-09-17T13:30:32+05:30,Frozen Bottle,Frozen Bottle In-Store,CLOSED,,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725184,2026-09-17T13:34:21+05:30,Frozen Bottle,Frozen Bottle In-Store,CLOSED,BRK262725184__LINE_1,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725184,2026-09-17T13:34:21+05:30,Frozen Bottle,Frozen Bottle In-Store,CLOSED,,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725185,2026-09-17T13:34:53+05:30,Frozen Bottle,Frozen Bottle In-Store,CLOSED,BRK262725185__LINE_1,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725185,2026-09-17T13:34:53+05:30,Frozen Bottle,Frozen Bottle In-Store,CLOSED,,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725186,2026-09-17T14:03:06+05:30,Frozen Bottle,Frozen Bottle In-Store,CLOSED,BRK262725186__LINE_1,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725186,2026-09-17T14:03:06+05:30,Frozen Bottle,Frozen Bottle In-Store,CLOSED,,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725187,2026-09-17T14:10:19+05:30,Frozen Bottle,Frozen Bottle In-Store,CLOSED,BRK262725187__LINE_1,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725187,2026-09-17T14:10:19+05:30,Frozen Bottle,Frozen Bottle In-Store,CLOSED,,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725188,2026-09-17T14:10:52+05:30,Frozen Bottle,Frozen Bottle In-Store,CLOSED,BRK262725188__LINE_1,,,,,,0,0,0,0
2026-09-17,FZBBLR034,AECS Layout,COCO,KA,Ownly,BRK262725188,2026-09-17T14:10:52+05:30,Frozen Bottle,Frozen Bottle In-Store,CLOSED,,,,,,,0,0,0,0
